N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
501,KSS해운,"12,200",0,0.00%,500,"2,829","23,186",6.21,"268,215",7.17,4.78,
502,한독,"20,500",500,-2.38%,500,"2,822","13,764",1.67,"19,536",18.81,7.47,
503,두산우,"70,300",300,-0.42%,"5,000","2,810","3,996",13.21,"3,960",-40.50,N/A,
504,KINDEX 200TR,"22,545",350,-1.53%,0,"2,796","12,400",0.00,935,N/A,N/A,
505,삼성출판사,"27,950",650,-2.27%,500,"2,795","10,000",0.79,"28,351",5.42,45.58,
506,삼성제약,"4,160",110,-2.58%,500,"2,794","67,162",6.16,"153,582",-5.65,-30.13,
507,서연,"11,850",950,-7.42%,500,"2,782","23,480",0.41,"567,376",6.95,-1.26,
508,대한제분,"164,000","2,500",-1.50%,"5,000","2,772","1,690",8.48,"2,217",3.23,2.70,
509,조일알미늄,"2,240",15,+0.67%,500,"2,765","123,432",0.50,"3,169,704",31.55,-7.85,
510,신한서부티엔디리츠,"4,940",5,+0.10%,"1,000","2,764","55,956",1.92,"24,839",N/A,-0.25,
511,TIGER KRX BBIG K-뉴딜,"9,050",180,-1.95%,0,"2,760","30,500",0.44,"162,898",N/A,N/A,
512,광주신세계,"172,500",500,-0.29%,"5,000","2,760","1,600",12.32,467,5.52,6.35,
513,SNT중공업,"8,260",30,-0.36%,"2,500","2,747","33,253",6.24,"19,347",4.66,9.44,
514,KBSTAR KIS단기종합채권(AA-이상)액티브,"100,550",5,0.00%,0,"2,733","2,718",0.00,"898,648",N/A,N/A,
515,현대리바트,"13,250",300,-2.21%,"1,000","2,721","20,535",4.39,"24,051",19.51,5.66,
516,HDC랩스,"10,250",200,-1.91%,500,"2,661","25,958",4.48,"22,122",15.37,9.42,
517,KODEX 미국나스닥100TR,"10,770",280,-2.53%,0,"2,649","24,600",0.37,"510,815",N/A,N/A,
518,세아제강,"93,400","1,400",-1.48%,"5,000","2,649","2,836",7.93,"3,862",4.23,5.67,
519,삼성전기우,"91,100",600,-0.65%,"5,000","2,648","2,907",8.09,"2,978",7.00,N/A,
520,포스코강판,"44,000","1,300",-2.87%,"5,000","2,640","6,000",2.54,"22,802",2.97,2.88,
521,대동,"11,100",350,-3.06%,"1,000","2,634","23,728",2.50,"338,268",8.27,7.74,
522,DB금융투자,"6,180",120,-1.90%,"5,000","2,623","42,446",11.76,"67,841",1.85,12.86,
523,남선알미늄,"2,370",50,+2.16%,500,"2,611","110,179",3.40,"2,229,053",6.93,5.72,
524,경인양행,"6,260",100,-1.57%,500,"2,603","41,576",3.19,"78,849",21.96,-4.18,
525,대한방직,"49,100",750,-1.50%,"1,000","2,602","5,300",0.75,"21,454",80.76,2.04,
526,SNT홀딩스,"15,950",200,-1.24%,500,"2,600","16,304",10.88,"13,856",3.37,8.56,
527,JW홀딩스,"3,665",25,+0.69%,500,"2,582","70,445",2.12,"86,001",11.24,7.45,
528,아모레G3우(전환),"36,400",400,-1.09%,500,"2,582","7,092",5.78,747,20.44,N/A,
529,케이씨,"19,000",200,-1.04%,500,"2,575","13,554",7.67,"15,435",6.63,9.19,
530,KPX홀딩스,"60,400",300,-0.49%,"5,000","2,552","4,225",31.32,"1,636",1.81,20.00,
531,디씨엠,"21,800",950,-4.18%,500,"2,551","11,700",0.85,"51,898",6.54,10.98,
532,AJ네트웍스,"5,420",100,-1.81%,"1,000","2,538","46,822",5.11,"57,270",3.33,-1.30,
533,삼익THK,"12,050",150,-1.23%,500,"2,530","21,000",34.58,"36,049",40.44,2.36,
534,KPX케미칼,"52,200",200,-0.38%,"5,000","2,526","4,840",28.63,"2,033",4.29,12.70,
535,금호석유우,"83,400","1,100",-1.30%,"5,000","2,522","3,023",9.01,"8,486",1.49,N/A,
536,삼영무역,"13,650",0,0.00%,500,"2,521","18,467",19.94,"5,644",6.66,7.59,
537,대영포장,"2,315",60,-2.53%,500,"2,509","108,395",3.44,"892,054",23.38,2.18,
538,화성산업,"20,050","1,950",-8.86%,"5,000","2,496","12,451",10.56,"478,465",14.55,N/A,
539,무림P&P,"4,000",30,-0.74%,"2,500","2,495","62,368",1.69,"90,888",97.56,-1.43,
540,백산,"10,300",200,-1.90%,500,"2,493","24,200",3.08,"762,906",28.77,-11.97,
541,한세예스24홀딩스,"6,230",110,-1.74%,500,"2,492","40,000",3.69,"17,026",3.54,16.99,
542,대한제당,"2,775",75,-2.63%,500,"2,489","89,697",2.79,"148,526",9.19,4.80,
543,도화엔지니어링,"7,340",0,0.00%,500,"2,475","33,720",1.93,"11,356",20.05,7.00,
544,TIGER CD금리투자KIS(합성),"50,660",0,0.00%,0,"2,464","4,864",0.00,0,N/A,N/A,
545,사조대림,"26,750","1,150",-4.12%,"5,000","2,451","9,164",3.42,"115,631",4.16,10.02,
546,선진,"10,300",250,-2.37%,500,"2,449","23,780",14.64,"65,867",3.72,24.25,
547,디아이,"7,740",90,-1.15%,500,"2,438","31,497",5.71,"159,800",17.88,4.13,
548,KODEX 은행,"8,125",90,-1.10%,0,"2,438","30,000",1.44,"1,700,597",N/A,N/A,
549,이아이디,259,9,-3.36%,200,"2,436","940,725",1.11,"7,560,549",43.17,-15.35,
550,용평리조트,"5,040",120,-2.33%,"5,000","2,426","48,133",1.76,"146,561",54.19,-4.54,
